iter	Passed	Remaining
808	9560	2257
809	9570	2245
810	9580	2232
811	9591	2220
812	9601	2208
813	9612	2196
814	9623	2184
815	9633	2172
816	9644	2160
817	9654	2148
818	9664	2135
819	9675	2123
820	9686	2111
821	9696	2099
822	9708	2087
823	9718	2075
824	9730	2063
825	9741	2052
826	9752	2040
827	9763	2028
828	9774	2016
829	9786	2004
830	9800	1993
831	9810	1980
832	9820	1968
833	9830	1956
834	9840	1944
835	9853	1932
836	9863	1920
837	9871	1908
838	9883	1896
839	9894	1884
840	9903	1872
841	9914	1860
842	9925	1848
843	9935	1836
844	9945	1824
845	9956	1812
846	9965	1800
847	9976	1788
848	9986	1776
849	9996	1764
850	10008	1752
851	10019	1740
852	10029	1728
853	10038	1716
854	10047	1703
855	10060	1692
856	10070	1680
857	10079	1668
858	10090	1656
859	10101	1644
860	10111	1632
861	10121	1620
862	10131	1608
863	10141	1596
864	10151	1584
865	10163	1572
866	10173	1560
867	10186	1549
868	10198	1537
869	10209	1525
870	10219	1513
871	10229	1501
872	10239	1489
873	10252	1478
874	10265	1466
875	10277	1454
876	10289	1443
877	10301	1431
878	10314	1419
879	10329	1408
880	10344	1397
881	10358	1385
882	10368	1373
883	10380	1362
884	10391	1350
885	10402	1338
886	10413	1326
887	10423	1314
888	10433	1302
889	10444	1290
890	10454	1278
891	10465	1267
892	10476	1255
893	10487	1243
894	10497	1231
895	10507	1219
896	10518	1207
897	10528	1195
898	10538	1183
899	10548	1172
900	10558	1160
901	10569	1148
902	10580	1136
903	10591	1124
904	10601	1112
905	10612	1101
906	10625	1089
907	10637	1077
908	10650	1066
909	10667	1055
910	10682	1043
911	10695	1032
912	10708	1020
913	10720	1008
914	10732	997
915	10744	985
916	10758	973
917	10770	962
918	10782	950
919	10794	938
920	10804	926
921	10813	914
922	10825	903
923	10836	891
924	10845	879
925	10856	867
926	10868	855
927	10878	844
928	10887	832
929	10898	820
930	10907	808
931	10918	796
932	10927	784
933	10939	773
934	10954	761
935	10967	749
936	10981	738
937	10996	726
938	11011	715
939	11026	703
940	11040	692
941	11060	680
942	11078	669
943	11095	658
944	11112	646
945	11128	635
946	11143	623
947	11160	612
948	11172	600
949	11185	588
950	11195	576
951	11207	565
952	11219	553
953	11229	541
954	11240	529
955	11253	517
956	11263	506
957	11273	494
958	11284	482
959	11294	470
960	11305	458
961	11317	447
962	11326	435
963	11337	423
964	11348	411
965	11360	399
966	11374	388
967	11386	376
968	11398	364
969	11410	352
970	11423	341
971	11434	329
972	11447	317
973	11457	305
974	11470	294
975	11482	282
976	11493	270
977	11503	258
978	11515	247
979	11526	235
980	11535	223
981	11546	211
982	11556	199
983	11571	188
984	11582	176
985	11592	164
986	11604	152
987	11616	141
988	11629	129
989	11638	117
990	11649	105
991	11658	94
992	11668	82
993	11679	70
994	11689	58
995	11700	46
996	11710	35
997	11719	23
998	11729	11
999	11740	0
